strain name,CP,RFP,5.FU,H2O2,CMZ,LVAL,B.Cl.Ala,AZT,KM,6.MP,AF,NiCl,CBPC,NFLX,SDC,SXZ,FOS,KTe,PS,BZ,DCS,MMC,VCM,ATP,PLM,PHEN,3.AT,NVA,MEC,TET,M9,NQO,EDTA,SHX,PMZ,NIT,SS,BSD,GAH,FTD,EM,HSE,CCCP,ABU,PUR,DVAL,5.FOA,NMNO
CPE6,11.750329,5.652968,-0.269637,-0.338064,11.876628,-2.130613,-1.062782,10.142813,-1.987324,-1.812925,11.885183,1.153699,10.501396,4.558774,-0.501529,0.581615,1.467838,6.316062,-1.952624,0.685374,-2.849604,3.53337,0.524126,6.485379,0.75969,4.264609,-1.951065,3.814058,-5.067083,9.558474,0.102666,-0.176757,3.502241,-0.545625,6.483382,1.263799,1.589417,2.075723,-2.003653,4.778912,11.741038,-0.815676,0.38234,1.858015,8.716785,0.06457,4.515711,3.185117
CPE2,5.915737,3.261119,-0.325649,-0.52442,3.42598,-1.12758,-0.961567,4.111918,0.806357,-1.994787,10.620009,1.589579,4.92074,1.750731,-1.258399,-1.182855,1.233814,3.934454,-1.882711,0.982075,-0.960869,2.66004,0.652945,2.665259,2.107345,1.670125,-2.253662,2.083454,-1.104804,4.897487,-0.002549,-1.660047,-0.228833,-0.469441,2.39067,-1.529277,1.234096,1.436658,-2.700761,2.465565,7.074913,-0.931734,-0.144089,1.107009,4.770049,0.001651,2.363573,3.04242
CPE5,2.853705,-1.230964,-1.007271,-2.733601,4.08274,-1.543197,-1.033759,1.283978,0.900838,-3.351816,3.360989,-1.504379,4.718507,2.466644,0.065712,-0.10569,0.914158,-1.149699,-2.889222,-0.41965,-1.22572,0.068883,0.88949,1.880628,2.730804,0.801009,-3.537156,0.258222,-0.904431,3.047989,0.068698,-3.005404,-1.308542,-2.303483,1.105156,-4.029208,0.344988,1.608995,-3.875355,1.103266,2.260474,-0.47901,0.169674,-2.054632,1.920431,2.399681,1.706994,1.347383
CPE3,2.349454,2.169958,0.080141,-1.010848,2.910945,-0.684529,-1.726815,3.088563,-2.551903,-3.829528,5.649902,1.306974,4.196736,1.517607,0.008663,1.36272,1.46651,2.500162,-0.111333,0.09827,-1.05235,1.430954,0.593411,4.255253,-0.725867,2.771905,-1.072094,-0.293865,1.40947,2.86236,-1.41156,1.951314,-0.137156,-1.575789,3.791825,0.050336,2.239665,-2.387748,1.713916,2.225319,5.774908,-0.804559,1.353279,0.761904,5.029835,-1.847003,1.649875,2.065004
RFPE4,-0.16606,7.931262,-0.356898,-0.32432,-0.195786,-0.123207,-0.482834,1.167209,-0.711275,0.832265,-2.230299,1.319318,-0.010212,-0.318818,-0.719937,0.669897,0.296749,3.461355,-0.99184,2.250093,-0.968191,-2.895537,2.050293,0.303535,-0.003171,-1.112633,-0.235148,0.778112,-0.734886,-0.910512,0.071828,-0.617878,5.010429,0.605934,-0.495987,-0.642176,0.413956,1.426506,1.816227,-0.66883,2.913449,-0.04149,-2.262019,0.999075,-2.252747,-1.121652,-0.95576,0.918485
RFPE1,2.87586,3.086325,0.014613,-0.220885,0.644893,0.634712,-0.106322,0.41237,-0.562682,-3.292055,2.675049,0.946422,0.886441,0.453594,-0.756969,1.159094,0.653222,2.995099,-2.755323,1.12131,-0.938887,-0.414855,0.729698,1.253402,-0.70057,0.197418,0.20207,-2.35383,-14.871938,0.076094,0.102666,2.616691,-0.430525,1.504658,1.479343,0.335327,2.235328,3.109635,1.872391,0.547099,1.076202,-2.317509,1.061591,-4.510992,0.925742,-2.07688,1.419385,3.579756
RFPE3,3.043654,2.560457,-1.849835,1.761065,0.504624,-0.200068,-0.762092,1.076693,-1.539593,-0.959679,1.217768,2.31432,1.341455,0.126743,-0.907058,1.447739,1.419281,-12.299172,-0.941105,0.990736,-0.957125,-0.475632,0.880302,2.111477,-1.835648,0.646045,0.689722,-0.934608,-7.607085,0.713818,0.102666,-0.156689,-0.39778,0.982305,1.691238,0.247506,2.030022,4.961295,1.519835,0.557673,1.599519,-2.031882,0.474383,-0.0426,0.570895,-0.696199,-1.064663,2.990669
RFPE2,2.594895,0.728699,-0.751803,-1.176265,2.056129,-0.809862,-0.617875,3.058122,1.002921,-1.710265,2.109997,-0.573228,3.124784,0.578369,-1.01586,-1.032684,1.106073,2.563114,-1.156204,0.387221,-1.091431,-0.241658,0.472877,1.510865,2.003048,0.557341,-1.880369,0.470835,-0.14709,2.989332,0.102666,-1.721631,1.618415,-1.869034,0.959688,-2.351445,1.003825,2.430495,-3.510775,0.77575,2.913344,-0.937142,1.441614,1.011038,2.113164,0.306537,1.75437,1.880662
5.FUE4,0.344912,0.393891,15.244805,-0.648431,-0.152285,-0.383751,-1.294297,0.196926,-0.602257,-0.063513,0.414327,-0.129463,-0.019754,-0.078916,-1.693352,-0.449741,-0.276532,2.256604,-0.059745,0.806132,-1.170868,-0.385589,0.660548,0.051741,3.791779,0.114339,0.381755,0.010463,0.537452,-0.595598,0.102666,0.177177,-1.246787,-2.260456,-0.120242,-1.44535,0.048717,2.85095,-2.298805,0.019533,0.22326,0.478755,-0.737405,0.27289,-0.116663,0.917162,3.174067,-0.046577
5.FUE3,1.538079,1.850049,7.085382,-0.466281,-0.266394,-0.010448,-0.666728,0.794759,-0.0754,-0.608583,1.658698,1.018178,0.134919,-0.008552,-1.185779,0.78395,-0.257854,1.038492,-0.107615,1.019111,-1.105699,-0.429023,0.371288,0.192784,-0.034407,-0.014628,0.187948,-0.746945,-0.878643,-0.280499,0.102666,0.147821,-0.933157,-0.246674,2.317707,-0.17191,0.771367,3.371015,1.108799,0.055489,2.293192,0.376401,-0.002692,0.153959,0.856316,0.39143,1.36075,-0.2322
5.FUE1,-0.287744,0.038221,5.846214,-1.049062,-0.441956,-0.417741,-1.28728,0.638349,-0.774272,-0.625929,0.392698,-0.002481,-0.169191,-0.08636,-2.347278,-0.8269,-0.291939,1.496642,-0.119357,0.840651,-1.099853,-0.463728,-0.390346,0.367233,0.500374,-0.084119,-0.12937,-0.245344,-1.307933,-0.21456,0.102666,0.194112,-0.987548,-2.89713,-0.307382,-1.628015,-0.087661,1.863922,-2.907789,0.42087,0.326532,0.207148,-0.762416,0.061843,-0.316948,0.762926,0.34965,0.594659
5.FUE2,0.372322,0.284436,-0.022271,-1.166872,-0.234062,-0.533335,-1.065948,1.091401,-1.491116,-0.694506,-0.166457,-0.66591,1.235632,0.761333,-2.213437,-0.0712,0.795551,0.923955,-0.125238,-0.098487,-1.314502,0.447821,0.691058,0.737151,-0.337005,-0.116697,0.255249,-0.619295,1.320768,0.123136,-0.724587,0.484049,-1.041871,-2.080026,-0.038669,-0.361627,0.784144,1.733298,0.574591,0.361883,0.739958,0.143507,-1.866374,0.637499,1.128724,1.351086,1.769191,-0.164387
